,name,review_count,rating,price,cat1,zip_code,nyc,borough,cluster,is_affluent
14638,Golden Krust Bakery & Grill,6,3.5,1,restaurants,11226,True,Brooklyn,61,1
14639,Radhuni Sweets & Restaurant,14,3.5,1,bangladeshi,11218,True,Brooklyn,47,1
14641,Green Lake Express,15,2.5,2,chinese,11226,True,Brooklyn,61,1
14642,Burger King,15,3.0,1,burgers,11210,True,Brooklyn,19,1
14646,China Thai Chinese Restaurant,16,2.5,1,thai,11226,True,Brooklyn,61,1
14647,Best Bites Restaurant and Bakery,33,2.5,1,caribbean,11203,True,Brooklyn,36,0
14648,Bella Pizza & Restaurant,28,3.0,2,pizza,11230,True,Brooklyn,19,1
14649,Holy Bagel,8,4.5,1,bagels,11210,True,Brooklyn,19,1
14650,Texas Chicken & Burgers,10,3.0,1,tradamerican,11226,True,Brooklyn,61,1
14651,Blake International Restaurant,11,3.5,1,caribbean,11203,True,Brooklyn,36,0
14652,Roti-R-Us,37,2.5,1,caribbean,11210,True,Brooklyn,19,1
14653,Kennedy Fried Chicken,8,3.5,2,salad,11203,True,Brooklyn,36,0
14655,Subway Restaurants,6,3.5,1,sandwiches,11226,True,Brooklyn,61,1
14656,Dunkin',10,2.5,1,coffee,11226,True,Brooklyn,61,1
14657,Fried Chicken with the Sauce,7,4.0,1,caribbean,11203,True,Brooklyn,36,0
14660,Ethlyn's Caribbean Bakery,5,4.0,2,bakeries,11226,True,Brooklyn,61,1
14661,Golden Crust,7,4.5,2,bakeries,11210,True,Brooklyn,19,1
14662,New Yummy Taco,26,3.0,1,mexican,11215,True,Brooklyn,11,1
14664,J&D Image,3,4.5,1,caribbean,11226,True,Brooklyn,61,1
14668,Subway Restaurants,17,2.5,1,sandwiches,11210,True,Brooklyn,19,1
14669,Topaze West Indian & American Restaurant,15,3.0,1,newamerican,11203,True,Brooklyn,36,0
14670,Chipotle Mexican Grill,44,2.0,1,mexican,11210,True,Brooklyn,19,1
14673,Tastee Pattee,4,3.5,1,caribbean,11226,True,Brooklyn,61,1
14674,Dunkin',10,3.0,1,donuts,11218,True,Brooklyn,47,1
14675,Anna's Cafe,18,3.0,1,cafes,11210,True,Brooklyn,19,1
14676,Dunkin Donut & Baskin Robbin,9,2.5,1,icecream,11226,True,Brooklyn,61,1
14678,Newkirk Kennedy Fried Chicken,10,2.5,1,chicken_wings,11226,True,Brooklyn,61,1
14680,Kaff's Bake Shop,10,3.5,1,bakeries,11210,True,Brooklyn,19,1
14681,Golden Krust Caribbean Restaurant,6,3.0,1,bakeries,11226,True,Brooklyn,61,1
14682,New Fu Lai Chinese Restaurant,4,3.5,1,chinese,11226,True,Brooklyn,61,1
14684,Dunkin',18,2.5,1,donuts,11210,True,Brooklyn,19,1
14685,The Sandwich Spot Deli,2,4.5,1,delis,11226,True,Brooklyn,61,1
14686,No. 1 Peking Oishi,7,3.0,1,chinese,11226,True,Brooklyn,61,1
14688,Dunkin',18,2.0,1,donuts,11226,True,Brooklyn,61,1
14689,Burger King,37,2.0,1,burgers,11218,True,Brooklyn,47,1
14690,Top Taco,6,4.0,1,mexican,11210,True,Brooklyn,19,1
14692,Nuts & Bolts,1,5.0,3,bakeries,11201,True,Brooklyn,22,1
14693,Ultimate Bakery Shop,4,3.5,1,bakeries,11226,True,Brooklyn,61,1
14694,Caton Deli & Luncheonette,9,2.5,1,coffee,11226,True,Brooklyn,61,1
14695,McDonald's,10,2.5,1,hotdogs,11226,True,Brooklyn,61,1
14697,China Star,9,2.5,1,chinese,11210,True,Brooklyn,19,1
14699,7-Eleven,17,2.0,1,convenience,11218,True,Brooklyn,47,1
14700,White Castle,42,2.0,1,hotdogs,11213,True,Brooklyn,39,1
14701,China Chef,5,2.5,1,chinese,11226,True,Brooklyn,61,1
14703,McDonald's,51,1.5,1,hotdogs,11210,True,Brooklyn,19,1
14704,Number One Chinese Restaurant,10,3.0,1,chinese,11210,True,Brooklyn,19,1
14705,7-Eleven,10,3.0,1,convenience,11210,True,Brooklyn,19,1
14707,Burger King,10,2.0,1,hotdogs,11226,True,Brooklyn,61,1
14708,D & P Restaurant and Cocktail Lounge,10,2.5,1,restaurants,11203,True,Brooklyn,36,0
14709,Starbucks,8,3.0,2,coffee,11210,True,Brooklyn,19,1
14710,Scotto's Bakery & Pastry,8,3.0,1,desserts,11218,True,Brooklyn,47,1
14716,Spoons Cafe,14,3.0,2,cafes,11210,True,Brooklyn,19,1
14717,China Dragon Restaurant,4,3.0,1,chinese,11226,True,Brooklyn,61,1
14718,Green House Restaurant,10,3.0,1,bangladeshi,11218,True,Brooklyn,47,1
14719,Taco King,17,2.5,1,chinese,11218,True,Brooklyn,47,1
14721,Carnal,3,4.0,2,foodstands,11218,True,Brooklyn,47,1
14723,Au Beurre Chaud Bakery,1,5.0,2,bakeries,11226,True,Brooklyn,61,1
14725,The Juicy Jar,5,4.0,1,caribbean,11210,True,Brooklyn,19,1
14727,Khan Gyro King,1,5.0,1,newamerican,11226,True,Brooklyn,61,1
14728,Dunkin',23,2.0,1,coffee,11218,True,Brooklyn,47,1
14730,Dunkin',12,1.5,1,coffee,11226,True,Brooklyn,61,1
14733,Kam Man Kitchen,8,2.5,1,chinese,11226,True,Brooklyn,61,1
14735,Papa John's Pizza,22,1.5,1,pizza,11226,True,Brooklyn,61,1
14736,Burger King,15,1.5,1,hotdogs,11226,True,Brooklyn,61,1
14737,Subway Restaurants,2,4.0,1,sandwiches,11226,True,Brooklyn,61,1
14739,Avenue Pizza II,7,1.5,2,pizza,11226,True,Brooklyn,61,1
14741,Peking Kitchen,9,3.0,1,chinese,11215,True,Brooklyn,11,1
14742,Halal Cart,2,4.5,1,streetvendors,11210,True,Brooklyn,19,1
14743,Popeyes Louisiana Kitchen,13,2.5,1,chicken_wings,11210,True,Brooklyn,19,1
14745,Checkers,9,2.0,1,hotdogs,11226,True,Brooklyn,61,1
14746,Subway Restaurants,3,3.5,1,sandwiches,11226,True,Brooklyn,61,1
14747,Yours & Mine Juice Ctr,3,4.5,2,caribbean,11213,True,Brooklyn,39,1
14748,Dunkin',10,1.5,1,donuts,11226,True,Brooklyn,61,1
14751,Dunkin',12,2.5,1,coffee,11210,True,Brooklyn,19,1
14754,Best Wok,2,4.5,2,restaurants,11210,True,Brooklyn,19,1
14755,Ambiance Express,8,2.0,2,haitian,11210,True,Brooklyn,19,1
14756,Best Wok No. 1,7,3.0,1,chinese,11210,True,Brooklyn,19,1
14757,Dunkin',25,2.0,1,donuts,11203,True,Brooklyn,36,0
14758,7-Eleven,6,2.5,1,coffee,11226,True,Brooklyn,61,1
14759,Golden Bird Chinese Restaurant,5,2.0,1,chinese,11226,True,Brooklyn,61,1
14761,Bistro On The Park,8,2.5,2,italian,11218,True,Brooklyn,47,1
14762,Golden China,8,2.5,1,chinese,11218,True,Brooklyn,47,1
14763,El Pilon Restaurant,9,1.5,1,spanish,11210,True,Brooklyn,19,1
14764,China Kitchen,5,2.0,1,mexican,11203,True,Brooklyn,36,0
14767,Crown Fried Chicken,9,2.0,1,hotdogs,11210,True,Brooklyn,19,1
14768,Bagels R Bakin,9,2.0,1,sandwiches,11218,True,Brooklyn,47,1
14772,Crown Fried Chicken & Pizza,2,3.0,1,seafood,11203,True,Brooklyn,36,0
14774,Big Boy 2 Deli,3,2.5,3,convenience,11226,True,Brooklyn,61,1
14775,Kitchen Thai,15,2.5,2,thai,11215,True,Brooklyn,11,1
14776,Golden Krust Caribbean Restaurant,4,2.5,1,restaurants,11226,True,Brooklyn,61,1
14779,Nida's Royal Deli,5,3.5,2,delis,11215,True,Brooklyn,11,1
14781,Kennedy Fried Chicken,4,3.0,1,chicken_wings,11201,True,Brooklyn,22,1
14783,Mei Jung Mei Chinese Restaurant,6,2.0,1,chinese,11210,True,Brooklyn,19,1
14791,New Top China,5,3.0,4,chinese,11210,True,Brooklyn,19,1
14794,No 1 Chinese Restaurant,2,3.0,1,chinese,11218,True,Brooklyn,47,1
14796,Peking Chinese restaurant,5,2.0,1,chinese,11210,True,Brooklyn,19,1
14801,New Garden Restaurant,4,3.5,1,tradamerican,11203,True,Brooklyn,36,0
14805,Dunkin',3,2.0,1,donuts,11210,True,Brooklyn,19,1
14808,Golden Krust Caribbean Restaurant,6,2.0,1,caribbean,11210,True,Brooklyn,19,1
